RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
119,0,30911,Tommy Fleetwood,172.13,91743.10,533
120,0,34587,Chan Kim,172.10,105839.80,615
121,0,32791,K.H. Lee,172.06,105645.12,614
122,0,29221,Webb Simpson,171.98,71716.10,417
123,0,32102,Rickie Fowler,171.96,92342.20,537
124,0,59143,Mac Meissner,171.71,100792.83,587
125,0,55708,Hayden Buckley,171.59,104327.62,608
126,0,37275,Sam Ryder,171.57,108433.44,632
127,0,54628,Lee Hodges,171.53,122986.38,717
128,0,54783,Dylan Wu,171.15,114842.72,671
129,0,30926,Chris Kirk,171.11,113956.01,666
130,0,36801,Mark Hubbard,171.10,144407.48,844
131,0,50095,Austin Smotherman,171.03,65676.69,384
132,0,48084,Wesley Bryan,170.97,65822.16,385
133,0,50525,Collin Morikawa,170.86,96196.57,563
133,0,33486,Roger Sloan,170.86,103712.45,607
135,0,30163,Henrik Norlander,170.83,71579.77,419
136,0,48319,Tom Whitney,170.76,89822.14,526
137,0,27936,Martin Laird,170.67,92501.43,542
138,0,55182,Tom Kim,170.61,116868.29,685
139,0,32367,Jorge Campillo,170.43,61186.09,359
140,0,51287,Ryo Hisatsune,170.22,113368.97,666
141,0,31646,Emiliano Grillo,169.88,114839.02,676
142,0,52374,Brandon Wu,169.80,109862.12,647
143,0,27330,Josh Teater,169.77,69436.64,409
144,0,27214,Kevin Streelman,169.72,92667.98,546
145,0,47983,Chad Ramey,169.57,107846.13,636
146,0,34021,Bud Cauley,169.36,86540.98,511
147,0,49771,J.T. Poston,169.34,127851.51,755
148,0,37455,Si Woo Kim,169.33,134617.46,795
149,0,51349,Nico Echavarria,169.30,110890.79,655
150,0,23320,Ryan Palmer,169.25,65838.23,389
151,0,45609,Tyler Duncan,169.16,98111.29,580
152,0,52375,Doug Ghim,169.14,123306.15,729
153,0,57900,Chandler Phillips,169.12,125486.96,742
154,0,25493,Nick Taylor,168.71,119274.76,707
155,0,46441,Robby Shelton,168.64,112987.19,670
156,0,40162,Justin Lower,168.62,122924.18,729
157,0,52513,Carson Young,168.61,119040.20,706
158,0,27770,Camilo Villegas,168.50,69590.15,413
159,0,47993,Denny McCarthy,168.35,125255.44,744
160,0,49960,Sepp Straka,168.34,100162.95,595
161,0,45522,Christiaan Bezuidenhout,168.15,110640.08,658
162,0,25900,Lucas Glover,167.91,123578.69,736
163,0,22371,Aaron Baddeley,167.84,96840.97,577
164,0,32640,Troy Merritt,167.56,104557.70,624
165,0,39327,Ben Silverman,167.50,134001.48,800
166,0,51890,Greyson Sigg,167.24,110211.79,659
167,0,34098,Russell Henley,167.17,107320.48,642
168,0,34076,Joel Dahmen,167.02,129275.64,774
169,0,29908,C.T. Pan,166.93,88474.45,530
170,0,36884,Ben Kohles,166.77,112068.43,672
171,0,28775,Nate Lashley,166.57,102272.48,614
172,0,27644,Brian Harman,166.34,139722.28,840
173,0,47806,Raul Pereda,165.68,64448.02,389
174,0,36326,David Lipsky,164.96,91225.32,553
175,0,34256,Andrew Putnam,164.84,113083.38,686
176,0,29535,Brice Garnett,164.29,68837.52,419
177,0,24024,Zach Johnson,163.62,74774.22,457
178,0,26596,Ryan Moore,163.54,109407.32,669
179,0,29478,Kevin Kisner,163.46,78134.82,478
180,0,40058,Zac Blair,162.99,133817.89,821
181,0,23108,Matt Kuchar,162.85,108784.85,668
182,0,26476,Chez Reavie,162.21,92622.66,571
182,0,30927,Brendon Todd,162.21,133338.47,822
184,0,27649,Brandt Snedeker,162.12,93216.75,575
